dataset,model,baseline,is_success,bl_success,delta,ci_low,ci_high,p_raw,n,p_holm,holm_reject
truthfulqa_real,qwen-2.5-7b,self_refine,0.7894736842105263,0.34210526315789475,0.4473684210526316,0.2631578947368421,0.6052631578947368,7.62939453125e-05,38,0.0235748291015625,True
longmemeval_real,llama-3.1-8b,self_refine,0.7833333333333333,0.5166666666666667,0.26666666666666666,0.15,0.38333333333333336,0.00014495849609375,60,0.0440673828125,True
longmemeval_real,llama-3.1-8b,selfcheckgpt,0.7833333333333333,0.5,0.2833333333333333,0.16666666666666666,0.4,7.62939453125e-05,60,0.0235748291015625,True
longmemeval_real,llama-3.3-70b,tot,0.5666666666666667,0.3,0.26666666666666666,0.15,0.38333333333333336,0.00014495849609375,60,0.0440673828125,True
longmemeval_real,llama-3.3-70b,selfcheckgpt,0.5666666666666667,0.3333333333333333,0.23333333333333334,0.13333333333333333,0.35,0.0001220703125,60,0.0374755859375,True
longmemeval_real,mistral-nemo-12b,self_refine,0.7333333333333333,0.5,0.23333333333333334,0.13333333333333333,0.35,0.0001220703125,60,0.0374755859375,True
musique_real,llama-3.1-8b,react,0.9166666666666666,0.6666666666666666,0.25,0.15,0.36666666666666664,6.103515625e-05,60,0.01904296875,True
musique_real,llama-3.1-8b,self_refine,0.9166666666666666,0.6666666666666666,0.25,0.15,0.36666666666666664,6.103515625e-05,60,0.01904296875,True
musique_real,llama-3.1-8b,selfcheckgpt,0.9166666666666666,0.5166666666666667,0.4,0.2833333333333333,0.5166666666666667,1.1920928955078125e-07,60,3.7789344787597656e-05,True
musique_real,llama-3.3-70b,tot,0.9333333333333333,0.55,0.38333333333333336,0.26666666666666666,0.5,2.384185791015625e-07,60,7.534027099609375e-05,True
musique_real,llama-3.3-70b,selfcheckgpt,0.9333333333333333,0.7,0.23333333333333334,0.13333333333333333,0.35,0.0001220703125,60,0.0374755859375,True
travelplanner_real,gemini-2.5-flash,react,0.6388888888888888,0.1388888888888889,0.5,0.3333333333333333,0.6666666666666666,7.62939453125e-06,36,0.0023956298828125,True
travelplanner_real,gemini-2.5-flash,tot,0.6285714285714286,0.08571428571428572,0.5428571428571428,0.37142857142857144,0.7142857142857143,3.814697265625e-06,35,0.001201629638671875,True
twowiki_real,llama-3.1-8b,selfcheckgpt,0.9333333333333333,0.6666666666666666,0.26666666666666666,0.16666666666666666,0.38333333333333336,3.0517578125e-05,60,0.009552001953125,True
