benchmark,model,baseline,is_rate,delta_pp,ci_low_pp,ci_high_pp,p_mcnemar,n_paired
truthfulqa,Llama 8B,direct,94.44444444444444,13.88888888888889,2.7777777777777777,25.0,0.0625,36
truthfulqa,Llama 8B,self_refine,94.44444444444444,33.33333333333333,19.444444444444446,50.0,0.00048828125,36
truthfulqa,Llama 8B,reflexion,94.44444444444444,0.0,0.0,0.0,1.0,36
truthfulqa,Llama 8B,full_regen,94.44444444444444,8.333333333333332,0.0,19.444444444444446,0.25,36
truthfulqa,Llama 8B,react,94.44444444444444,22.22222222222222,8.333333333333332,36.11111111111111,0.0078125,36
truthfulqa,Llama 8B,selfcheckgpt,94.44444444444444,2.7777777777777777,0.0,8.333333333333332,1.0,36
truthfulqa,Llama 8B,tot,94.44444444444444,16.666666666666664,5.555555555555555,30.555555555555557,0.03125,36
truthfulqa,Llama 70B,direct,91.66666666666666,8.333333333333332,0.0,19.444444444444446,0.25,36
truthfulqa,Llama 70B,self_refine,91.66666666666666,30.555555555555557,16.666666666666664,47.22222222222222,0.0009765625,36
truthfulqa,Llama 70B,reflexion,91.66666666666666,0.0,-8.333333333333332,8.333333333333332,1.0,36
truthfulqa,Llama 70B,full_regen,91.66666666666666,11.11111111111111,2.7777777777777777,22.22222222222222,0.125,36
truthfulqa,Llama 70B,react,91.66666666666666,16.666666666666664,5.555555555555555,30.555555555555557,0.03125,36
truthfulqa,Llama 70B,selfcheckgpt,91.66666666666666,8.333333333333332,0.0,19.444444444444446,0.25,36
truthfulqa,Llama 70B,tot,91.66666666666666,11.11111111111111,0.0,25.0,0.21875,36
truthfulqa,Mistral 12B,direct,86.11111111111111,22.22222222222222,8.333333333333332,36.11111111111111,0.0078125,36
truthfulqa,Mistral 12B,self_refine,86.11111111111111,25.0,8.333333333333332,41.66666666666667,0.01171875,36
truthfulqa,Mistral 12B,reflexion,86.11111111111111,5.555555555555555,-5.555555555555555,16.666666666666664,0.625,36
truthfulqa,Mistral 12B,full_regen,86.11111111111111,16.666666666666664,2.7777777777777777,30.555555555555557,0.0703125,36
