tau,coverage,selective_success,selective_risk,false_commit_rate,overall_success,n_committed,n_abstained
0.0,1.0,0.625,0.375,0.375,0.625,16,0
0.049999999999999996,1.0,0.625,0.375,0.375,0.625,16,0
0.09999999999999999,1.0,0.625,0.375,0.375,0.625,16,0
0.15,1.0,0.625,0.375,0.375,0.625,16,0
0.19999999999999998,1.0,0.625,0.375,0.375,0.625,16,0
0.24999999999999997,1.0,0.625,0.375,0.375,0.625,16,0
0.3,1.0,0.625,0.375,0.375,0.625,16,0
0.35,1.0,0.625,0.375,0.375,0.625,16,0
0.39999999999999997,1.0,0.625,0.375,0.375,0.625,16,0
0.44999999999999996,1.0,0.625,0.375,0.375,0.625,16,0
0.49999999999999994,1.0,0.625,0.375,0.375,0.625,16,0
0.5499999999999999,0.875,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.625,14,2
0.6,0.8125,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.625,13,3
0.6499999999999999,0.8125,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.625,13,3
0.7,0.8125,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.625,13,3
0.7499999999999999,0.8125,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.625,13,3
0.7999999999999999,0.8125,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.625,13,3
0.85,0.8125,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.625,13,3
0.8999999999999999,0.375,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,6,10
0.95,0.375,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,6,10
