cell,n,mean_confidence,mean_success,ece,brier
ablation_mistral7b,60,0.9724573430993586,0.9,0.08869665933867477,0.08554714284617322
alfworld_deepseek_v3,61,0.830906564136145,0.16393442622950818,0.6669721379066369,0.6019388320659949
alfworld_gemini_flash,60,0.7384364266573517,0.6833333333333333,0.18284159295286856,0.18439657949532148
alfworld_mistral_nemo,60,0.9425228008728721,0.8333333333333334,0.1680510399022554,0.14912369407716541
alfworld_qwen_7b,60,0.8489916400034467,0.6833333333333333,0.1682205141103695,0.16895503550658705
hotpotqa_deepseek_v3,60,0.9822695035460993,0.85,0.1322695035460993,0.12403048136411648
hotpotqa_gemini_flash,60,0.7546281104986712,0.6,0.24313746833080363,0.21208610943282594
hotpotqa_mistral_nemo,60,0.9349627240626518,0.8166666666666667,0.12652742011651202,0.11636857646728721
hotpotqa_qwen_7b,40,0.9187627941891104,0.75,0.2349965604228768,0.21629937669934723
musique_deepseek_v3,60,0.9745091093117408,0.9333333333333333,0.05696524966261809,0.04784593615286269
musique_gemini_flash,60,0.7981720718798677,0.8333333333333334,0.10640977716761336,0.10356087073197205
musique_mistral_nemo,60,0.9714272805233278,0.8833333333333333,0.08809394718999461,0.07344036116967824
musique_qwen_7b,59,0.9381462842862964,0.8135593220338984,0.16404899853710758,0.15453582962208817
pfqa_deepseek,60,0.9571030197154202,0.8833333333333333,0.09434581806932973,0.10335052872508595
pfqa_deepseek_v31,60,0.9691651182955531,0.8166666666666667,0.15249845162888645,0.14944589833672606
pfqa_gemini_flash,60,0.7552501746589554,0.6,0.15525017465895544,0.1231174582549479
pfqa_gptoss20b,60,0.925009683223187,0.6,0.32500968322318713,0.30537528509030126
pfqa_llama,60,0.9833333333333333,0.9833333333333333,0.01904761904761905,0.010884353741496603
pfqa_llama3_8b,60,0.9804942528735633,0.9,0.10283908045977017,0.09126523186682521
pfqa_mistral7b,60,0.961507621379569,0.9,0.061507621379569014,0.06195181643164022
pfqa_qwen7b,60,0.9071694356769205,0.75,0.18660260488100766,0.19803103126214394
strategyqa_deepseek_v3,60,0.9843075684380033,0.85,0.14902576489533018,0.1386559818587754
strategyqa_gemini_flash,60,0.8389549561372326,0.85,0.13948939884592682,0.1203485731389773
strategyqa_mistral_nemo,60,0.9731917606011808,0.9666666666666667,0.03260534084809452,0.022280859038371615
strategyqa_qwen_7b,60,0.91114604650651,0.75,0.1688383541988176,0.1525750466222061
taubench_deepseek,60,1.0,1.0,0.0,0.0
taubench_deepseek_v31,60,1.0,1.0,0.0,0.0
taubench_gemini_flash,60,1.0,1.0,0.0,0.0
taubench_gptoss20b,60,1.0,1.0,0.0,0.0
taubench_llama,60,1.0,1.0,0.0,0.0
taubench_llama3_8b,60,0.9438721001221001,0.6333333333333333,0.32303876678876686,0.296351563513308
taubench_mistral7b,60,0.9593875805152978,0.7166666666666667,0.2427209138486312,0.22826171776239917
taubench_qwen7b,60,0.935764071363503,0.9333333333333333,0.07596046220588872,0.06361767151512722
travel_deepseek,60,0.9630750332785216,0.85,0.13668614438963286,0.11892619421845824
travel_deepseek_v31,93,0.9581618022242898,0.8172043010752689,0.166599514997764,0.1597432554759292
travel_gemini_flash,60,0.9393538575134025,0.9166666666666666,0.023892010123844256,0.0075116684297268374
travel_gptoss20b,59,1.0,0.9661016949152542,0.03389830508474578,0.03389830508474576
travel_llama,60,0.9706164917499207,0.95,0.02061649174992073,0.021736456456967312
travel_llama3_8b,60,1.0,1.0,0.0,0.0
travel_mistral7b,60,1.0,0.9833333333333333,0.01666666666666672,0.016666666666666666
travel_qwen7b,60,0.9853654618473896,0.9833333333333333,0.019301204819277107,0.011299981613199785
webshop_deepseek_v3,60,0.5444446882695131,0.11666666666666667,0.42777802160284656,0.24719036663016525
webshop_gemini_flash,60,0.6610002080901617,0.31666666666666665,0.34433354142349504,0.21341102066172205
webshop_mistral_nemo,60,0.6646123188555471,0.16666666666666666,0.4979456521888804,0.3477162993414756
webshop_qwen_7b,58,0.7577972366211643,0.2413793103448276,0.5164179262763368,0.3843306873380744
