tau,coverage,selective_success,selective_risk,false_commit_rate,overall_success,n_committed,n_abstained
0.0,1.0,0.24,0.76,0.76,0.24,25,0
0.049999999999999996,1.0,0.24,0.76,0.76,0.24,25,0
0.09999999999999999,1.0,0.24,0.76,0.76,0.24,25,0
0.15,1.0,0.24,0.76,0.76,0.24,25,0
0.19999999999999998,1.0,0.24,0.76,0.76,0.24,25,0
0.24999999999999997,1.0,0.24,0.76,0.76,0.24,25,0
0.3,1.0,0.24,0.76,0.76,0.24,25,0
0.35,1.0,0.24,0.76,0.76,0.24,25,0
0.39999999999999997,0.96,0.25,0.75,0.75,0.24,24,1
0.44999999999999996,0.92,0.2608695652173913,0.7391304347826086,0.7391304347826086,0.24,23,2
0.49999999999999994,0.92,0.2608695652173913,0.7391304347826086,0.7391304347826086,0.24,23,2
0.5499999999999999,0.84,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.24,21,4
0.6,0.8,0.3,0.7,0.7,0.24,20,5
0.6499999999999999,0.76,0.3157894736842105,0.6842105263157895,0.6842105263157895,0.24,19,6
0.7,0.72,0.2777777777777778,0.7222222222222222,0.7222222222222222,0.2,18,7
0.7499999999999999,0.68,0.29411764705882354,0.7058823529411765,0.7058823529411765,0.2,17,8
0.7999999999999999,0.52,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.12,13,12
0.85,0.52,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.12,13,12
0.8999999999999999,0.52,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.12,13,12
0.95,0.44,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.12,11,14
