cell,IS_success,vs_direct,vs_self_refine,vs_reflexion,vs_full_regen,vs_direct_delta,vs_direct_mcnemar_p,direct_success,vs_direct_n,vs_self_refine_delta,vs_self_refine_mcnemar_p,self_refine_success,vs_self_refine_n,vs_reflexion_delta,vs_reflexion_mcnemar_p,reflexion_success,vs_reflexion_n,vs_full_regen_delta,vs_full_regen_mcnemar_p,full_regen_success,vs_full_regen_n
ablation_mistral7b,0.9,,,,,,,,,,,,,,,,,,,,
pfqa_deepseek,0.8833333333333333,,,,,0.1333333333333333,0.0078125,0.75,60.0,0.44999999999999996,1.4901161193847656e-08,0.43333333333333335,60.0,0.016666666666666607,1.0,0.8666666666666667,60.0,0.15000000000000002,0.01171875,0.7333333333333333,60.0
pfqa_deepseek_v31,0.8166666666666667,,,,,0.06666666666666665,0.125,0.75,60.0,0.4333333333333333,2.9802322387695312e-08,0.38333333333333336,60.0,0.0,1.0,0.8166666666666667,60.0,0.016666666666666607,1.0,0.8,60.0
pfqa_gemini_flash,0.6,,,,,0.14999999999999997,0.00390625,0.45,60.0,0.1833333333333333,0.0009765625,0.4166666666666667,60.0,-0.1333333333333333,0.057373046875,0.7333333333333333,60.0,0.16666666666666663,0.00634765625,0.43333333333333335,60.0
pfqa_gptoss20b,0.6,,,,,0.09999999999999998,0.03125,0.5,60.0,0.14999999999999997,0.00390625,0.45,60.0,-0.3666666666666667,4.76837158203125e-07,0.9666666666666667,60.0,0.14999999999999997,0.00390625,0.45,60.0
pfqa_llama,0.9833333333333333,,,,,0.016666666666666607,1.0,0.9666666666666667,60.0,0.5666666666666667,1.1641532182693481e-10,0.4166666666666667,60.0,0.0,1.0,0.9833333333333333,60.0,0.033333333333333326,0.5,0.95,60.0
pfqa_llama3_8b,0.9,,,,,0.050000000000000044,0.25,0.85,60.0,0.5833333333333334,5.529727786779404e-10,0.31666666666666665,60.0,-0.016666666666666607,1.0,0.9166666666666666,60.0,0.06666666666666665,0.21875,0.8333333333333334,60.0
pfqa_mistral7b,0.9,,,,,0.16666666666666674,0.001953125,0.7333333333333333,60.0,0.6000000000000001,2.9103830456733704e-11,0.3,60.0,0.1333333333333333,0.021484375,0.7666666666666667,60.0,0.15000000000000002,0.0224609375,0.75,60.0
pfqa_qwen7b,0.75,,,,,0.19999999999999996,0.00048828125,0.55,60.0,0.38333333333333336,2.384185791015625e-07,0.36666666666666664,60.0,0.16666666666666663,0.001953125,0.5833333333333334,60.0,0.3,0.0002771615982055664,0.45,60.0
taubench_deepseek,1.0,,,,,0.0,1.0,1.0,60.0,0.01666666666666672,1.0,0.9833333333333333,60.0,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0
taubench_deepseek_v31,1.0,,,,,0.0,1.0,1.0,60.0,0.08333333333333337,0.0625,0.9166666666666666,60.0,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0
taubench_gemini_flash,1.0,,,,,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0
taubench_gptoss20b,1.0,,,,,0.0,1.0,1.0,60.0,0.01666666666666672,1.0,0.9833333333333333,60.0,0.0,1.0,1.0,60.0,0.01666666666666672,1.0,0.9833333333333333,60.0
taubench_llama,1.0,,,,,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0,0.0,1.0,1.0,60.0
taubench_llama3_8b,0.6333333333333333,,,,,0.033333333333333326,0.625,0.6,60.0,0.09999999999999998,0.36159460805356514,0.5333333333333333,60.0,-0.30000000000000004,4.00543212890625e-05,0.9333333333333333,60.0,0.04999999999999993,0.6636238098144531,0.5833333333333334,60.0
taubench_mistral7b,0.7166666666666667,,,,,0.033333333333333326,0.5,0.6833333333333333,60.0,0.09999999999999998,0.36159460805356514,0.6166666666666667,60.0,-0.23333333333333328,0.0001220703125,0.95,60.0,0.08333333333333337,0.359283447265625,0.6333333333333333,60.0
taubench_qwen7b,0.9333333333333333,,,,,0.15000000000000002,0.00390625,0.7833333333333333,60.0,0.30000000000000004,0.0002771615982055664,0.6333333333333333,60.0,-0.033333333333333326,0.6875,0.9666666666666667,60.0,0.18333333333333335,0.00341796875,0.75,60.0
travel_deepseek,0.85,,,,,0.1333333333333333,0.0078125,0.7166666666666667,60.0,0.3754237288135593,2.9802322387695312e-06,0.4745762711864407,59.0,0.1166666666666667,0.0390625,0.7333333333333333,60.0,0.2666666666666666,0.002493917942047119,0.5833333333333334,60.0
travel_deepseek_v31,0.8,,,,,0.18333333333333335,0.00738525390625,0.6166666666666667,60.0,0.33333333333333337,3.5881996154785156e-05,0.4666666666666667,60.0,0.15000000000000002,0.0224609375,0.65,60.0,0.30000000000000004,0.0005335211753845215,0.5,60.0
travel_gemini_flash,0.9166666666666666,,,,,0.016666666666666607,1.0,0.9,60.0,0.0,1.0,0.9166666666666666,60.0,-0.08333333333333337,0.0625,1.0,60.0,-0.01666666666666672,1.0,0.9333333333333333,60.0
travel_gptoss20b,0.9661016949152542,,,,,0.03389830508474578,0.5,0.9322033898305084,59.0,0.023794002607561926,1.0,0.9423076923076923,52.0,0.0,1.0,0.9661016949152542,59.0,0.0847457627118644,0.1796875,0.8813559322033898,59.0
travel_llama,0.95,,,,,0.016666666666666607,1.0,0.9333333333333333,60.0,-0.01666666666666672,1.0,0.9666666666666667,60.0,-0.050000000000000044,0.25,1.0,60.0,0.016666666666666607,1.0,0.9333333333333333,60.0
