benchmark,method,n,success,violation,tokens_total,delta_success_vs_direct,ci_low,ci_high,mcnemar_p,wilcoxon_tokens_p,holm_success_adj
Profile-PFQA (Llama 3.3 70B),direct,60,0.9666666666666667,0.03333333333333333,858.2333333333333,,,,,,
Profile-PFQA (Llama 3.3 70B),full_regen,60,0.95,0.05,1711.25,-0.016666666666666666,-0.05,0.0,1.0,1.6277666096275908e-11,1.0
Profile-PFQA (Llama 3.3 70B),intro_specter_llm,60,0.9833333333333333,0.016666666666666666,2177.9166666666665,0.016666666666666666,0.0,0.05,1.0,1.6234289238182304e-11,1.0
Profile-PFQA (Llama 3.3 70B),reflexion,60,0.9833333333333333,0.016666666666666666,964.7,0.016666666666666666,0.0,0.05,1.0,0.5,1.0
Profile-PFQA (Llama 3.3 70B),self_refine,60,0.4166666666666667,0.5833333333333334,2265.7166666666667,-0.55,-0.6666666666666666,-0.4166666666666667,2.3283064365386963e-10,1.6285331829622064e-11,1.1641532182693481e-09
Profile-PFQA (Llama 3.1 8B),direct,60,0.85,0.15,736.9833333333333,,,,,,
Profile-PFQA (Llama 3.1 8B),full_regen,60,0.8333333333333334,0.16666666666666666,1501.4499999999998,-0.016666666666666666,-0.1,0.06666666666666667,1.0,1.6280220973983744e-11,1.0
Profile-PFQA (Llama 3.1 8B),intro_specter_llm,60,0.9,0.1,1887.45,0.05,0.0,0.11666666666666667,0.25,1.6287887807647548e-11,0.5
Profile-PFQA (Llama 3.1 8B),reflexion,60,0.9166666666666666,0.08333333333333333,1194.9333333333334,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.125,0.00390625,0.375
Profile-PFQA (Llama 3.1 8B),self_refine,60,0.31666666666666665,0.6833333333333333,1902.4666666666667,-0.5333333333333333,-0.6666666666666666,-0.4,1.941225491464138e-08,1.6293000864348577e-11,9.70612745732069e-08
Profile-PFQA (DeepSeek V3),direct,60,0.75,0.25,873.0999999999999,,,,,,
