dataset,method,mean_tokens,median_tokens,std_tokens,n
longmemeval_real,direct,2180.2291666666665,2167.0,199.90148615422208,240
longmemeval_real,full_regen,4354.254166666667,4339.0,357.8879788731342,240
longmemeval_real,intro_specter_llm,4958.216666666666,4927.5,505.726275597627,240
longmemeval_real,react,4684.6125,4665.5,393.9507061028217,240
longmemeval_real,reflexion,5937.9625,2365.0,4792.276892073678,240
longmemeval_real,self_refine,4878.641666666666,4847.5,549.2839887969383,240
longmemeval_real,selfcheckgpt,12105.591666666667,11860.0,1372.7237438456852,240
longmemeval_real,tot,69436.37853107345,85764.0,30332.018020982683,177
musique_real,direct,2127.679166666667,2107.0,187.3260453404732,240
musique_real,full_regen,4262.058333333333,4224.5,344.63837808019304,240
musique_real,intro_specter_llm,5087.6625,4968.5,600.720333507996,240
musique_real,react,4509.029166666666,4462.5,390.22084078772224,240
musique_real,reflexion,4038.3416666666667,2174.0,3908.277989744147,240
musique_real,self_refine,5018.229166666667,4972.0,574.3622783233671,240
musique_real,selfcheckgpt,11294.145833333334,11158.5,1224.6241945895886,240
musique_real,tot,73128.56994818653,78694.0,18441.637759048604,193
truthfulqa_real,direct,1192.7808219178082,1188.0,151.6554394649918,146
truthfulqa_real,full_regen,2385.6388888888887,2344.0,291.4630231464943,144
truthfulqa_real,intro_specter_llm,3011.986301369863,3056.5,435.2405278147162,146
truthfulqa_real,react,2726.2397260273974,2659.5,352.3805408693456,146
truthfulqa_real,reflexion,2634.541095890411,1265.5,2573.5844535741962,146
truthfulqa_real,self_refine,2959.972602739726,2955.0,441.7916492116833,146
truthfulqa_real,selfcheckgpt,5887.398601398601,5890.0,819.454697936293,143
truthfulqa_real,tot,34337.339622641506,40190.0,15757.900584657176,106
twowiki_real,direct,2009.6708333333333,1981.0,242.8641250703045,240
twowiki_real,full_regen,4019.4166666666665,3983.5,474.5536565477261,240
twowiki_real,intro_specter_llm,4790.795833333334,4762.0,646.7888527690068,240
twowiki_real,react,4294.554166666667,4304.0,482.6678791597021,240
twowiki_real,reflexion,2910.733333333333,2025.0,2778.9091000484236,240
twowiki_real,self_refine,4717.995833333333,4631.5,640.6638913969542,240
twowiki_real,selfcheckgpt,10363.142259414226,10208.0,1308.3290182570136,239
twowiki_real,tot,57591.868131868134,69882.0,27167.702536663568,182
